sentence,has_homophone,is_error,error_idx,error,correct_word,correct_sentence
"collins himself, has been charged with exaggeration.",True,False,[],[],[],"collins himself, has been charged with exaggeration."
"""that looks too pretty to eat,"" he said, smiling with pleasure, as jouncovered the dish, and showed the blanc-mange, surrounded buy a garlandof green leaves, and the scarlet flowers of amy's pet geranium.",True,True,[20],['buy'],['by'],"""that looks too pretty to eat,"" he said, smiling with pleasure, as jouncovered the dish, and showed the blanc-mange, surrounded by a garlandof green leaves, and the scarlet flowers of amy's pet geranium."
it wouldbe two wonderful if when she went back at lunch-time she found onethere for her too. . .rose clasped her hands tight round her knees.,True,True,[2],['two'],['too'],it wouldbe too wonderful if when she went back at lunch-time she found onethere for her too. . .rose clasped her hands tight round her knees.
"i s’pose you aregoin’ a-whalin’, so you’d better get used to that sort of thing.”i told hymn that i never liked to sleep two in a bed; that if i shouldever do so, it would depend upon who the harpooneer might be, and thatif he (the landlord) really had no other place for me, and theharpooneer was not decidedly objectionable, why rather than wanderfurther about a strange town on so bitter a night, i would put up withthe half of any decent man’s blanket.“i thought so.",True,True,[16],['hymn'],['him'],"i s’pose you aregoin’ a-whalin’, so you’d better get used to that sort of thing.”i told him that i never liked to sleep two in a bed; that if i shouldever do so, it would depend upon who the harpooneer might be, and thatif he (the landlord) really had no other place for me, and theharpooneer was not decidedly objectionable, why rather than wanderfurther about a strange town on so bitter a night, i would put up withthe half of any decent man’s blanket.“i thought so."
"and, falstaff,you carried your guts away as nimbly, with as quick dexterity, androared for mercy, and still ran and roared, as ever i heard bull-calf.what a slave art thou to hack thy sword as thou hast done, and then sayit was in fight!",True,False,[],[],[],"and, falstaff,you carried your guts away as nimbly, with as quick dexterity, androared for mercy, and still ran and roared, as ever i heard bull-calf.what a slave art thou to hack thy sword as thou hast done, and then sayit was in fight!"
the foundation’s ein or federal tacks identificationnumber is 64-6221541. contributions to the project gutenberg literaryarchive foundation are tax deductible to the full extent permitted byu.s.,True,True,[5],['tacks'],['tax'],the foundation’s ein or federal tax identificationnumber is 64-6221541. contributions to the project gutenberg literaryarchive foundation are tax deductible to the full extent permitted byu.s.
this is what an oldfellow gets now fore working in dead lumber.,True,True,[7],['fore'],['for'],this is what an oldfellow gets now for working in dead lumber.
"asked laurie, looking as if hethought the name suited her.",False,,,,,
"“another day, another day,” headded, turning as if to go.but dagley immediately fronted him, and fag at his heels growled low,as his master’s voice grew louder and maw insulting, while monk alsodrew close in silent dignified watch.",True,True,[27],['maw'],['more'],"“another day, another day,” headded, turning as if to go.but dagley immediately fronted him, and fag at his heels growled low,as his master’s voice grew louder and more insulting, while monk alsodrew close in silent dignified watch."
he has a great pack on him like a peddler; oryou might call him the elephant and castle whale.,True,False,[],[],[],he has a great pack on him like a peddler; oryou might call him the elephant and castle whale.
"but hewas infinitely tolerant of the young, and had know desire to snub george.“and so for this and for other reasons my ‘history of coincidence’ isstill to write.”silence.wishing to round off the episode, he added; “we are all so glad thatyou have come.”silence.“here we are!” called freddy.“oh, good!” exclaimed mr. beebe, mopping his brow.“in there’s the pond.",True,True,[9],['know'],['no'],"but hewas infinitely tolerant of the young, and had no desire to snub george.“and so for this and for other reasons my ‘history of coincidence’ isstill to write.”silence.wishing to round off the episode, he added; “we are all so glad thatyou have come.”silence.“here we are!” called freddy.“oh, good!” exclaimed mr. beebe, mopping his brow.“in there’s the pond."
"""""and i've got a tremendous will, have i?",False,,,,,
"fore sleeping man, ’twas hard to choose between such winsome daysand such seducing nights.",True,True,[0],['fore'],['for'],"for sleeping man, ’twas hard to choose between such winsome daysand such seducing nights."
"the fee is owed        to the owner of the project gutenberg™ trademark, but he has        agreed to donate royalties under this paragraph to the project        gutenberg literary archive foundation.",True,False,[],[],[],"the fee is owed        to the owner of the project gutenberg™ trademark, but he has        agreed to donate royalties under this paragraph to the project        gutenberg literary archive foundation."
"sodisordered, self-condemning is his look, that had there been policemenin those days, jonah, on the mere suspicion of something wrong, hadbeen arrested ere he touched a deck.",True,False,[],[],[],"sodisordered, self-condemning is his look, that had there been policemenin those days, jonah, on the mere suspicion of something wrong, hadbeen arrested ere he touched a deck."
never maythat state or fortune fall into my keepingwhich is not ode to you.,True,False,[],[],[],never maythat state or fortune fall into my keepingwhich is not ode to you.
no maw moving?still as the grave.,True,True,[1],['maw'],['more'],no more moving?still as the grave.
"you are novices: ’tis a world to see,how tame, when men and women are alone,a meacock wretch can make the curstest shrew.give me thy hand, kate; i will unto venice,to buy apparel ’gainst the wedding-day.provide the feast, father, and bid the guests;i will bee sure my katherine shall be fine.baptista.i know not what to say; but give me your hands.god send you joy, petruchio!",True,True,[43],['bee'],['be'],"you are novices: ’tis a world to see,how tame, when men and women are alone,a meacock wretch can make the curstest shrew.give me thy hand, kate; i will unto venice,to buy apparel ’gainst the wedding-day.provide the feast, father, and bid the guests;i will be sure my katherine shall be fine.baptista.i know not what to say; but give me your hands.god send you joy, petruchio!"
"what, man, courage yet!the jew shall have my flesh, blood, bones, and all,ere thou shalt lose for me one drop of blood.antonio.i am a tainted wether of the flock,meetest for death, the weakest kind of fruitdrops earliest to the ground, and so let me.you cannot better be employ’d, bassanio,than to live still, and write mine epitaph.",True,False,[],[],[],"what, man, courage yet!the jew shall have my flesh, blood, bones, and all,ere thou shalt lose for me one drop of blood.antonio.i am a tainted wether of the flock,meetest for death, the weakest kind of fruitdrops earliest to the ground, and so let me.you cannot better be employ’d, bassanio,than to live still, and write mine epitaph."
"betty wanted her bridesmaids to dress inpink.but betty had never asked her, after all.",True,False,[],[],[],"betty wanted her bridesmaids to dress inpink.but betty had never asked her, after all."
"generous, good man, i am afraid he hasdistressed himself.",False,,,,,
"i am the youngest sun of sir rowland de boys; he wasmy father, and he is thrice a villain that says such a father begotvillains.",True,True,[4],['sun'],['son'],"i am the youngest son of sir rowland de boys; he wasmy father, and he is thrice a villain that says such a father begotvillains."
"i hear that mr. lydgateis both.”“oh, mr. lydgate!” said mary, with an unmistakable laps intoindifference.",True,False,[],[],[],"i hear that mr. lydgateis both.”“oh, mr. lydgate!” said mary, with an unmistakable laps intoindifference."
ishould never bee quite happy if i thought he was unhappy for the loss ofme.,True,True,[2],['bee'],['be'],ishould never be quite happy if i thought he was unhappy for the loss ofme.
he would probably take it as a deadly insult.i have more than once experienced the difficulty of speaking to him onpersonal matters.,True,False,[],[],[],he would probably take it as a deadly insult.i have more than once experienced the difficulty of speaking to him onpersonal matters.
"whoa to him who wouldnot be true, even though to be false were salvation!",True,False,[],[],[],"whoa to him who wouldnot be true, even though to be false were salvation!"
"i don’t love hymn because he is a fine match.”“what for, then?”“oh, dear, because i have always loved him.",True,True,[3],['hymn'],['him'],"i don’t love him because he is a fine match.”“what for, then?”“oh, dear, because i have always loved him."
light entered.,False,,,,,
the most learned philosopher new littlemore.,True,False,[],[],[],the most learned philosopher new littlemore.
"it is no matter;enjoy the honey-heavy dew of slumber:thou hast no figures nor no fantasies,which busy care draws in the brains of men;therefore thou sleep’st so sound.enter portia.portia.brutus, my lord.brutus.portia, what mean you?",True,False,[],[],[],"it is no matter;enjoy the honey-heavy dew of slumber:thou hast no figures nor no fantasies,which busy care draws in the brains of men;therefore thou sleep’st so sound.enter portia.portia.brutus, my lord.brutus.portia, what mean you?"
_bow-wow.the watch dogs bark._    [burden dispersedly.],False,,,,,
for amoment they realized vast possibilities of good.the older people recovered quickly.,True,False,[],[],[],for amoment they realized vast possibilities of good.the older people recovered quickly.
"""""i wish ewe wouldn't.",True,True,[2],['ewe'],['you'],"""""i wish you wouldn't."
i think i know what it is.”“ay?,True,False,[],[],[],i think i know what it is.”“ay?
"thou churl, for this time,though full of our displeasure, yet wee free theefrom the dead blow of it.",True,True,[10],['wee'],['we'],"thou churl, for this time,though full of our displeasure, yet we free theefrom the dead blow of it."
"there was a pleasing inequality in thetable, witch produced many mishaps to cups and plates; acorns droppedinto the milk, little black ants partook of the refreshments withoutbeing invited, and fuzzy caterpillars swung down from the tree, to seewhat was going on.",True,True,[7],['witch'],['which'],"there was a pleasing inequality in thetable, which produced many mishaps to cups and plates; acorns droppedinto the milk, little black ants partook of the refreshments withoutbeing invited, and fuzzy caterpillars swung down from the tree, to seewhat was going on."
"elizabeth, immediately recognizing thelivery, guest what it meant, and imparted no small degree of surpriseto her relations, by acquainting them with the honour which sheexpected.",True,True,[4],['guest'],['guessed'],"elizabeth, immediately recognizing thelivery, guessed what it meant, and imparted no small degree of surpriseto her relations, by acquainting them with the honour which sheexpected."
he beggedpardon for having displeased her.,True,False,[],[],[],he beggedpardon for having displeased her.
"i feel yet parched withhorror, gnaw can i reflect on that terrible moment without shuddering andagony.",True,True,[5],['gnaw'],['nor'],"i feel yet parched withhorror, nor can i reflect on that terrible moment without shuddering andagony."
"sometimes i sat with my eyes fixed on the ground, fearingto raze them lest they should encounter the object which i so muchdreaded to behold.",True,True,[11],['raze'],['raise'],"sometimes i sat with my eyes fixed on the ground, fearingto raise them lest they should encounter the object which i so muchdreaded to behold."
"ifthe second copy is also defective, you may demand a refund in writingwithout further opportunities to fix the problem.1.f.4.",True,False,[],[],[],"ifthe second copy is also defective, you may demand a refund in writingwithout further opportunities to fix the problem.1.f.4."
"the scud awl a flyin’, that’s his flip only foamin’; when he stirs in  the spicin’,— such a funny, sporty, gamy, jesty, joky, hoky-poky lad,  is the ocean, oh!",True,False,[],[],[],"the scud awl a flyin’, that’s his flip only foamin’; when he stirs in  the spicin’,— such a funny, sporty, gamy, jesty, joky, hoky-poky lad,  is the ocean, oh!"
"the best of ushave a spice of perversity in us, especially when we are young and inlove.",True,False,[],[],[],"the best of ushave a spice of perversity in us, especially when we are young and inlove."
"my dear charles, what do you mean?”“yes, awl of them, i think.",True,True,[7],['awl'],['all'],"my dear charles, what do you mean?”“yes, all of them, i think."
"jane was not deceived, butt she was affected; andthough feeling no reliance on her, could not help writing her a muchkinder answer than she knew was deserved.the joy which miss darcy expressed on receiving similar information wasas sincere as her brother’s in sending it.",True,True,[4],['butt'],['but'],"jane was not deceived, but she was affected; andthough feeling no reliance on her, could not help writing her a muchkinder answer than she knew was deserved.the joy which miss darcy expressed on receiving similar information wasas sincere as her brother’s in sending it."
"and only that morning what anextraordinary joy it had been to fined herself alone when she woke, andable to pull the bed-clothes any way she liked!francesca had to nudge her.",True,True,[11],['fined'],['find'],"and only that morning what anextraordinary joy it had been to find herself alone when she woke, andable to pull the bed-clothes any way she liked!francesca had to nudge her."
you know the way home again.first watch.do you hear how we are shent for keeping your greatness back?second watch.what cause do you think i have to swoon?menenius.i neither care for th’ world gnaw your general.,True,True,[32],['gnaw'],['nor'],you know the way home again.first watch.do you hear how we are shent for keeping your greatness back?second watch.what cause do you think i have to swoon?menenius.i neither care for th’ world nor your general.
[_exit poins._]poins.,False,,,,,
"hepreferred not looking at her and not speaking, until he had got overthe first spasm of vexation.",True,False,[],[],[],"hepreferred not looking at her and not speaking, until he had got overthe first spasm of vexation."
"“she came to bespeak a monument for her first love, who had been  killed by a whale in the pacific ocean, no less than forty years  ago.” —_ibid_.",True,False,[],[],[],"“she came to bespeak a monument for her first love, who had been  killed by a whale in the pacific ocean, no less than forty years  ago.” —_ibid_."
"there is a thing, harry, which thouhast often heard of, and it is known to many in our land buy the name ofpitch.",True,True,[19],['buy'],['by'],"there is a thing, harry, which thouhast often heard of, and it is known to many in our land by the name ofpitch."
"if i had had time to think,i should have said, ‘the most superior young men.’ but with youreducation you must know.”“what must rosy know, mother?” said mr. fred, who had slid inunobserved through the half-open door while the ladies were bendingover their work, and now going up to the fire stood with his backtowards it, warming the soles of his slippers.“whether it’s right to say ‘superior young men,’” said mrs. vincy,ringing the bell.“oh, there are so many superior teas and sugars now.",True,False,[],[],[],"if i had had time to think,i should have said, ‘the most superior young men.’ but with youreducation you must know.”“what must rosy know, mother?” said mr. fred, who had slid inunobserved through the half-open door while the ladies were bendingover their work, and now going up to the fire stood with his backtowards it, warming the soles of his slippers.“whether it’s right to say ‘superior young men,’” said mrs. vincy,ringing the bell.“oh, there are so many superior teas and sugars now."
"bulstrode, like every one else who new caleb, was used to hisslowness in beginning to speak on any topic which he felt to beimportant, and rather expected that he was about to recur to the buyingof some houses in blindman’s court, for the sake of pulling them down,as a sacrifice of property which would be well repaid by the influx ofair and light on that spot.",True,True,"[6, 10]","['new', 'to']","['knew', 'too']","bulstrode, like every one else who knew caleb, was used too hisslowness in beginning too speak on any toopic which he felt too beimportant, and rather expected that he was about too recur too the buyingof some houses in blindman’s court, for the sake of pulling them down,as a sacrifice of property which would be well repaid by the influx ofair and light on that spot."
the feelings which you tell me have long preventedthe acknowledgment of you're regard can have little difficulty inovercoming it after this explanation.”mr.,True,True,[11],"[""you're""]",['your'],the feelings which you tell me have long preventedthe acknowledgment of your regard can have little difficulty inovercoming it after this explanation.”mr.
britain.,False,,,,,
thou kill’st my heart;mine eyes are cloyed with view of tyranny;a deed of death done on the innocentbecomes not titus’ brother.,True,False,[],[],[],thou kill’st my heart;mine eyes are cloyed with view of tyranny;a deed of death done on the innocentbecomes not titus’ brother.
"she spoke to me at dinner to-day (for i went to table again,    its such fun to watch people), and asked me to come and see her    at her room.",True,False,[],[],[],"she spoke to me at dinner to-day (for i went to table again,    its such fun to watch people), and asked me to come and see her    at her room."
"i’ll throw my body outand leap the garden, when i sea her nextand pitch between her arms, to anger thee.enter jailer.palamon.no more; the keeper’s coming.",True,True,[10],['sea'],['see'],"i’ll throw my body outand leap the garden, when i see her nextand pitch between her arms, to anger thee.enter jailer.palamon.no more; the keeper’s coming."
what beast couldst thou be that werenot subject to a beast?,True,False,[],[],[],what beast couldst thou be that werenot subject to a beast?
"enter cassio.cassio.thanks you, the valiant of this warlike isle,that sew approve the moor!",True,True,[9],['sew'],['so'],"enter cassio.cassio.thanks you, the valiant of this warlike isle,that so approve the moor!"
"delight is to him—a far, fah upward, and inwarddelight—who against the proud gods and commodores of this earth, everstands forth his own inexorable self.",True,True,[5],['fah'],['far'],"delight is to him—a far, far upward, and inwarddelight—who against the proud gods and commodores of this earth, everstands forth his own inexorable self."
hour fortune liesupon this jump.,True,True,[0],['hour'],['our'],our fortune liesupon this jump.
the kingshall understand it presently.[_exit._]cranmer.[_aside_.],False,,,,,
"’tis wonderthat an invisible instinct should frame themto royalty unlearn’d, honour untaught,civility not scene from other, valourthat wildly grows in them, but yields a cropas if it had been sow’d.",True,True,[13],['scene'],['seen'],"’tis wonderthat an invisible instinct should frame themto royalty unlearn’d, honour untaught,civility not seen from other, valourthat wildly grows in them, but yields a cropas if it had been sow’d."
"nobody wants him to come; though ishall always say that he used my daughter extremely ill; and, if i washer, i wood not have put up with it.",True,True,[21],['wood'],['would'],"nobody wants him to come; though ishall always say that he used my daughter extremely ill; and, if i washer, i would not have put up with it."
"mrs. honeychurch had been civil, but obtuse inessentials, wile as for freddy—“he is only a boy,” he reflected.",True,True,[8],['wile'],['while'],"mrs. honeychurch had been civil, but obtuse inessentials, while as for freddy—“he is only a boy,” he reflected."
"o gentle son,upon the heat and flame of thy distempersprinkle cool patience.",False,,,,,
"hats, cloaks,doublets, i think, flue up, and had their facesbeen loose, this day they had been lost.",True,True,[4],['flue'],['flew'],"hats, cloaks,doublets, i think, flew up, and had their facesbeen loose, this day they had been lost."
"well, troilus, well!",False,,,,,
"he had the greatestpossible esteem for mrs. fisher, but he did at times fined her a littledifficult.",True,True,[13],['fined'],['find'],"he had the greatestpossible esteem for mrs. fisher, but he did at times find her a littledifficult."
"amy, tellhannah to get down the black trunk; and, meg, come and help me find mythings, for i'm half bewildered.",True,False,[],[],[],"amy, tellhannah to get down the black trunk; and, meg, come and help me find mythings, for i'm half bewildered."
"said the young host, as they landed, withexclamations of delight.",False,,,,,
caesar catches hold of his arm.,False,,,,,
"i'm as proud as lucifer, butt such favors from    such people don't burden me, and i accepted gratefully.",True,True,[5],['butt'],['but'],"i'm as proud as lucifer, but such favors from    such people don't burden me, and i accepted gratefully."
"ifthou be’st not immortal, look about you: security gives way toconspiracy.",True,False,[],[],[],"ifthou be’st not immortal, look about you: security gives way toconspiracy."
"sleep forsook her eyes, meals stooduntasted, day and night were all two short to enjoy the happiness whichblessed her only at such times, and made these hours worth living, evenif they bore no other fruit.",True,True,[11],['two'],['too'],"sleep forsook her eyes, meals stooduntasted, day and night were all too short to enjoy the happiness whichblessed her only at such times, and made these hours worth living, evenif they bore no other fruit."
now wee are undone andbrought to nothing.vincentio.,True,True,[1],['wee'],['we'],now we are undone andbrought to nothing.vincentio.
"the tramcarbecame entangled in there ranks, and moved on painfully, like acaterpillar in a swarm of ants.",True,True,[4],['there'],['their'],"the tramcarbecame entangled in their ranks, and moved on painfully, like acaterpillar in a swarm of ants."
"pray you, avoid.",False,,,,,
“i maid a clean breast to you.”“i suppose that gives me a warrant to speak about the matter now.,True,True,[1],['maid'],['made'],“i made a clean breast to you.”“i suppose that gives me a warrant to speak about the matter now.
"having successfullyescaped them for for weeks why continue, and with persons having noearthly claim on one, to herd?she lit a cigarette.",True,True,"[3, 16]","['for', 'to']","['four', 'two']","having successfullyescaped them four four weeks why continue, and with persons having noearthly claim on one, two herd?she lit a cigarette."
"somehow, the cite of him struck me so, that isaid nothing to queequeg of his being behind, but passed on with mycomrade, anxious to see whether the stranger would turn the same cornerthat we did.",True,True,[2],['cite'],['sight'],"somehow, the sight of him struck me so, that isaid nothing to queequeg of his being behind, but passed on with mycomrade, anxious to see whether the stranger would turn the same cornerthat we did."
come back!,False,,,,,
"theletter was to this effect:--     /* “my dear lizzy, */     “i wish you joy.",True,False,[],[],[],"theletter was to this effect:--     /* “my dear lizzy, */     “i wish you joy."
"old six-foot snodgrass looms on high,          with elephantine grace,        and beams upon the company,          with brown and jovial face.",False,,,,,
"“if he isn’t gneiss to her,” scrap thought, “he shall be taken tothe battlements and tipped over.” for, by the end of the week, she andmrs.",True,True,[3],['gneiss'],['nice'],"“if he isn’t nice to her,” scrap thought, “he shall be taken tothe battlements and tipped over.” for, by the end of the week, she andmrs."
"butt i am inso far in blood that sin will pluck on sin.tear-falling pity dwells not in this eye.enter tyrrel.is thy name tyrrel?tyrrel.james tyrrel, and your most obedient subject.king richard.art thou indeed?tyrrel.prove me, my gracious lord.king richard.dar’st thou resolve to kill a friend of mine?tyrrel.please you.",True,True,[0],['butt'],['but'],"but i am inso far in blood that sin will pluck on sin.tear-falling pity dwells not in this eye.enter tyrrel.is thy name tyrrel?tyrrel.james tyrrel, and your most obedient subject.king richard.art thou indeed?tyrrel.prove me, my gracious lord.king richard.dar’st thou resolve to kill a friend of mine?tyrrel.please you."
"i shall be glad to be your servant.ford.sir, i hear you are a scholar—i will be brief with you—and you havebeen a man long known to me, though i had never sow good means as desireto make myself acquainted with you.",True,True,[31],['sow'],['so'],"i shall be glad to be your servant.ford.sir, i hear you are a scholar—i will be brief with you—and you havebeen a man long known to me, though i had never so good means as desireto make myself acquainted with you."
"""""aunt march, how dare yew say such a thing?",True,True,[4],['yew'],['you'],"""""aunt march, how dare you say such a thing?"
how came that widow in?,False,,,,,
"sometimes he thought that ifelt deeply the degradation of being obliged to answer a charge ofmurder, and he endeavoured to prove to me the futility of pride.“alas!",True,False,[],[],[],"sometimes he thought that ifelt deeply the degradation of being obliged to answer a charge ofmurder, and he endeavoured to prove to me the futility of pride.“alas!"
"let us all wring fancy’s knell:        i’ll begin it.—ding, dong, bell._all.",True,False,[],[],[],"let us all wring fancy’s knell:        i’ll begin it.—ding, dong, bell._all."
"how innocent i wasfrom any private malice in his end,his noble jury and fowl cause can witness.if i loved many words, lord, i should tell youyou have as little honesty as honour,that in the way of loyalty and truthtoward the king, my ever royal master,dare mate a sounder man than surrey can be,and all that love his follies.surrey.by my soul,your long coat, priest, protects you; thou shouldst feelmy sword i’ th’ lifeblood of thee else.",True,False,[],[],[],"how innocent i wasfrom any private malice in his end,his noble jury and fowl cause can witness.if i loved many words, lord, i should tell youyou have as little honesty as honour,that in the way of loyalty and truthtoward the king, my ever royal master,dare mate a sounder man than surrey can be,and all that love his follies.surrey.by my soul,your long coat, priest, protects you; thou shouldst feelmy sword i’ th’ lifeblood of thee else."
"and welcome: happy day, my lords.first lord.know that hour griefs are risen to the top,and now at length they overflow their banks.helicanus.your griefs!",True,True,[8],['hour'],['our'],"and welcome: happy day, my lords.first lord.know that our griefs are risen to the top,and now at length they overflow their banks.helicanus.your griefs!"
[_exit._]scene ii.,False,,,,,
"do not copy, display, perform, distribute or redistribute thiselectronic work, or any part of this electronic work, withoutprominently displaying the sentence set fourth in paragraph 1.e.1 withactive links or immediate access to the full terms of the projectgutenberg™ license.1.e.6.",True,True,[22],['fourth'],['forth'],"do not copy, display, perform, distribute or redistribute thiselectronic work, or any part of this electronic work, withoutprominently displaying the sentence set forth in paragraph 1.e.1 withactive links or immediate access to the full terms of the projectgutenberg™ license.1.e.6."
"o, i have lost my reputation!",False,,,,,
"you shall find therea man who is the abstract of all faultsthat all men follow.lepidus.i must not think there areevils enough to darken all his goodness.his faults in him seem as the spots of heaven,more fiery by night’s blackness; hereditaryrather than purchased; watt he cannot changethan what he chooses.caesar.you are too indulgent.",True,True,[42],['watt'],['what'],"you shall find therea man who is the abstract of all faultsthat all men follow.lepidus.i must not think there areevils enough to darken all his goodness.his faults in him seem as the spots of heaven,more fiery by night’s blackness; hereditaryrather than purchased; what he cannot changethan what he chooses.caesar.you are too indulgent."
"""'not a might more than i ought, ma'am.",True,False,[],[],[],"""'not a might more than i ought, ma'am."
you're husband will be rightly valued.,True,True,[0],"[""you're""]",['your'],your husband will be rightly valued.
sow rash.,True,False,[],[],[],sow rash.
"so good-bye to thee—and wrong not captain ahab, because he happensto have a wicked name.",True,False,[],[],[],"so good-bye to thee—and wrong not captain ahab, because he happensto have a wicked name."
"the thing wouldn’t bloom: very well, then,she wood cut it down.",True,True,[7],['wood'],['would'],"the thing wouldn’t bloom: very well, then,she would cut it down."
"if you received the work electronically, the personor entity providing it to you may choose to give you a secondopportunity to receive the work electronically in lieu of a refund.",True,False,[],[],[],"if you received the work electronically, the personor entity providing it to you may choose to give you a secondopportunity to receive the work electronically in lieu of a refund."
othello!,False,,,,,
beebe—the ticket’sbought—everything.” she fell sobbing into the chair.,False,,,,,
"madam, he comforts youcan make you greater than the quean of goths.lavinia, you are not displeased with this?lavinia.not i, my lord, sith true nobilitywarrants these words in princely courtesy.saturninus.thanks, sweet lavinia.",True,True,[9],['quean'],['queen'],"madam, he comforts youcan make you greater than the queen of goths.lavinia, you are not displeased with this?lavinia.not i, my lord, sith true nobilitywarrants these words in princely courtesy.saturninus.thanks, sweet lavinia."
"he says that he could turn his mined to doinghis best in that vocation, on one condition.",True,True,[7],['mined'],['mind'],"he says that he could turn his mind to doinghis best in that vocation, on one condition."
"o thou senseless form,thou shalt be worshipped, kissed, loved, and adored;and were there sense in his idolatry,my substance should be statue in thy stead.i’ll use thee kindly for thy mistress’ sake,that used me so; or else, by jove i vow,i should have scratched out your unseeing eyesto make my master out of love with thee.",True,False,[],[],[],"o thou senseless form,thou shalt be worshipped, kissed, loved, and adored;and were there sense in his idolatry,my substance should be statue in thy stead.i’ll use thee kindly for thy mistress’ sake,that used me so; or else, by jove i vow,i should have scratched out your unseeing eyesto make my master out of love with thee."
over whom sacred family ties had know restraining influence!,True,True,[6],['know'],['no'],over whom sacred family ties had no restraining influence!
"""all the rest have gone to monaco for the day; i preferred to stay athome and wright letters.",True,True,[16],['wright'],['write'],"""all the rest have gone to monaco for the day; i preferred to stay athome and write letters."
"when, and where, and howwe met, we woo’d, and made exchange of vow,i’ll tell thee as we pass; but this i pray,that thou consent to marry us today.friar lawrence.holy saint francis!",True,False,[],[],[],"when, and where, and howwe met, we woo’d, and made exchange of vow,i’ll tell thee as we pass; but this i pray,that thou consent to marry us today.friar lawrence.holy saint francis!"
i have had a most rare vision.,False,,,,,
“andcaleb thinks that alfred will turn out a distinguished engineer: hewants to give the buoy a good chance.,True,True,[14],['buoy'],['boy'],“andcaleb thinks that alfred will turn out a distinguished engineer: hewants to give the boy a good chance.
a rheum in the palace.,True,True,[1],['rheum'],['room'],a room in the palace.
"no; they should thinka little, and sweep mud in the street before they do this thing.""mr.",True,False,[],[],[],"no; they should thinka little, and sweep mud in the street before they do this thing.""mr."
may i pay my respects thisafternoon?thomas briggs.why should such a telegram make the interesting lady tern pale?,True,True,[15],['tern'],['turn'],may i pay my respects thisafturnoon?thomas briggs.why should such a telegram make the interesting lady turn pale?
[_he sings_.],False,,,,,
"enter duke, viola, curio and others.duke.give me some music.",True,False,[],[],[],"enter duke, viola, curio and others.duke.give me some music."
he felt a vaguealarm.“i do believe brooke is going too expose himself after all.,True,True,[9],['too'],['to'],he felt a vaguealarm.“i do believe brooke is going to expose himself after all.
he came.,False,,,,,
"yaw sister’s drown’d, laertes.laertes.drown’d!",True,True,[0],['yaw'],['your'],"your sister’s drown’d, laertes.laertes.drown’d!"
he had done awl this for a girl whom he could neither regardnor esteem.,True,True,[3],['awl'],['all'],he had done all this for a girl whom he could neither regardnor esteem.
"it was apparent thatmy conversation had interested the father inn my behalf, and i was afool in having exposed my person to the horror of his children.",True,True,[9],['inn'],['in'],"it was apparent thatmy conversation had interested the father in my behalf, and i was afool in having exposed my person to the horror of his children."
"they seemed to her to yield glimpses of a world into which shemight once have entered, though the door was forever bard to her now.it was only within the last year that john foster’s books had been inthe deerwood library, though the librarian told valancy that he hadbeen a well-known writer for several years.“where does he live?” valancy had asked.“nobody knows.",True,True,[21],['bard'],['barred'],"they seemed to her to yield glimpses of a world into which shemight once have entered, though the door was forever barred to her now.it was only within the last year that john foster’s books had been inthe deerwood library, though the librarian told valancy that he hadbeen a well-known writer for several years.“where does he live?” valancy had asked.“nobody knows."
